abandonnen
angrese
abime
abitre
abitye
abiye
abòne
adopte
ajenouje
akonpaye
akoste
anbarase
anfouye
anfoudwaye
agrave
anmadwe
anmède
annafle
annwiye
anonse
anpote
anrasinen
ansasinen
ansèkle
antere
antone
antoure
abòde
abreje
abrite
absante
absòbe
achte
adapte
adikte
admèt
administre
adonnen
adore
adrese
afekte
afiche
afilye
afime
aflije
agase
agrandi
agremante
agrese
agreye
aji
ajiste
ajite
ajoune
ajoute
akimile
akize
akite
aklame
akòde
akokiye
akomode
akonpli
akouche
akoupi
akselere
akwe
ale
aleje
alète
alfabetize
alimante
allye li
ame
amelyore
amenaje
amensi
amerikanize
amize
amonize
amòse
amòti
analize
anbake
anbale
anbeli
anbete
anbiske
anboche
anbonmen
anbrase
anbreye
anbrigade
anbwouye
anchaje
anchene
ancheri
andomaje
andòmi
andose
andoye
andyoze
anemye
anfale
anfèje
anfème
anflame
anfle
anfonse
anfounen
anfrajele
angaje
angòje
angoudi
angrese
anime
anjandre
ankadre
ankave
ankese
ankete
ankonbre
ankouraje
annile
anniye
anpare
anpaye
anpeche
anpetre
anpeze
anpire
anplifye
anplwaye
anprizonnen
anpwazonnen
anraje
anrejistre
anrichi
anrimen
ansanse
ansent
anseye
 antame
antann
antann li
antase
ante
antisipe
antòtiye
antrave
antre
antrekoupe
antremele
antrene
antreprann
antretni
anvayi
anvi
anvizaje
anvlimen
anvye
anwole
apante
apèsevwa
apèsi
apeze
apiye
aplani
aple
aplike
aplodi
aponen
apral
aprann
apresye
aprivwaze
apwofondi
apwouve
apwovizyòne
arete
arimen
asanble
asayi
asepte
asfalte
asire
asiste
asiste
asiyen
asonnen
asosye
asòti
asoupi
aspire
astikote
asyeje
atable
atache
atake
atenn
ateri
atikile
atire
atle
atrap
atribye
atriste
avalize
avantaje
avantire (li)
avèti
avili
avize
avòte
awondi
awoutcha1
awoutcha2
ayere1
ayere2
azade (li)
bay
babote
babouye (li)
babye
bachote
bade
badijonnen
badinen
bafre1
bafre2
bafwe
balade
balanse1
balanse2
bale1
bale2
balewouze
balize1
balize2
balote1
balote2
banbile
banboche
bande1
bande2
bander3
bander4 (alaryè)
bandone
banni
banke sou {ak} 
bare1
bare2
barikade
baskile1
baskile2
baskile3
bastinen
bastonnen
bat1
bat2
bat3
Bat4
batay
bate1
bate2
bati
batize
bavade
bave1
bave2 (bouch) sou yon moun
bavote
bay1
bay2
bay3
baye
bayonnen
baze
beke1
beke2
beke3
benefisye
beni
benn
benyen
bere
bese
betize1
betize2
betize3
betonnen
bezwen
bidjete
bife
bimen
bise
biske1
biske2
bite1
bite2
blage
blakawout
blame
blanchi1
blanchi2
blasfeme
blayi1
blayi2
ble
blemi
blende1
blende2
