cette	PRO:DEM	ce
foule	NOM	foule
sueur	NOM	sueur
là	ADV	là
hommes	NOM	homme
toutes	PRO:IND	tout
nations	NOM	nation
Ligures	NOM	ligure
Lusitaniens	NOM	lusitanien
Baléares	NOM	<unknown>
Nègres	NOM	nègre
fugitifs	NOM	fugitif
Rome	NAM	Rome
entendait	VER:impf	entendre
côté	NOM	côté
lourd	ADJ	lourd
patois	NOM	patois
dorien	ADJ	dorien
retentir	VER:infi	retentir
syllabes	NOM	syllabe
celtiques	ADJ	celtique
bruissantes	ADJ	bruissant
comme	KON	comme
chars	NOM	char
bataille	NOM	bataille
terminaisons	NOM	terminaison
ioniennes	ADJ	ionien
heurtaient	VER:impf	heurter
consonnes	NOM	consonne
désert	NOM	désert
âpres	ADJ	âpre
comme	KON	comme
cris	NOM	cri
chacal	NOM	chacal
Grec	NOM	grec
reconnaissait	VER:impf	reconnaître
taille	NOM	taille
mince	ADJ	mince
Égyptien	ADJ	égyptien
épaules	NOM	épaule
remontées	VER:pper	remonter
Cantabre	NAM	<unknown>
larges	NOM	large
mollets	ADJ	mollet
Cariens	NOM	carien
balançaient	VER:impf	balancer
orgueilleusement	ADV	orgueilleusement
plumes	NOM	plume
casque	NOM	casque
archers	NOM	archer
Cappadoce	NAM	<unknown>
peint	VER:pper	peindre
jus	NOM	jus
herbes	NOM	herbe
larges	ADJ	large
fleurs	NOM	fleur
corps	NOM	corps
quelques	PRO:IND	quelque
Lydiens	NOM	lydien
portant	VER:ppre	porter
robes	NOM	robe
femmes	NOM	femme
dînaient	VER:impf	dîner
pantoufles	NOM	pantoufle
boucles	NOM	boucle
oreilles	NOM	oreille
autres	ADJ	autre
pompe	NOM	pompe
barbouillés	VER:pper	barbouiller
vermillon	NOM	vermillon
ressemblaient	VER:impf	ressembler
statues	NOM	statue
corail	NOM	corail
allongeaient	VER:impf	allonger
coussins	NOM	coussin
mangeaient	VER:impf	manger
accroupis	VER:pper	accroupir
autour	ADV	autour
grands	ADJ	grand
plateaux	NOM	plateau
bien	ADV	bien
couchés	VER:pper	coucher
ventre	NOM	ventre
tiraient	VER:impf	tirer
morceaux	NOM	morceau
viande	NOM	viande
rassasiaient	VER:impf	rassasier
appuyés	VER:pper	appuyer
coudes	NOM	coude
pose	NOM	pose
pacifique	ADJ	pacifique
lions	NOM	lion
lorsqu	ADJ	<unknown>
dépècent	VER:pres	dépecer
proie	NOM	proie
derniers	NOM	dernier
venus	VER:pper	venir
debout	ADV	debout
contre	PRP	contre
arbres	NOM	arbre
regardaient	VER:impf	regarder
tables	NOM	table
basses	ADJ	bas
disparaissant	VER:ppre	disparaître
moitié	NOM	moitié
sous	PRP	sous
tapis	NOM	tapis
écarlate	ADJ	écarlate
attendaient	VER:impf	attendre
tour	NOM	tour
cuisines	NOM	cuisine
Hamilcar	NAM	Hamilcar
suffisantes	ADJ	suffisant
Conseil	NOM	conseil
envoyé	VER:pper	envoyer
esclaves	NOM	esclave
vaisselle	NOM	vaisselle
lits	NOM	lit
voyait	VER:impf	voir
milieu	NOM	milieu
jardin	NOM	jardin
comme	KON	comme
champ	NOM	champ
bataille	NOM	bataille
quand	KON	quand
brûle	VER:pres	brûler
morts	NOM	mort
grands	ADJ	grand
feux	NOM	feu
clairs	ADJ	clair
où	PRO:REL	où
rôtissaient	VER:impf	rôtir
bœufs	NOM	bœuf
pains	NOM	pain
saupoudrés	VER:pper	saupoudrer
anis	NOM	anis
alternaient	VER:impf	alterner
gros	ADJ	gros
fromages	NOM	fromage
