"absanteism"
"anz"
"atirans"
"bagatel"
"bann"
"batem"
"benwar"
"betonez"
"bopre"
"bouf"
"bouldou"
"boultang"
"bourton"
"celsius"
"dam"
"deboursman"
"deklarasion"
"demonstrasion"
"dezevre"
"diktater"
"efervesans"
"eker"
"eklips"
"famsaz"
"filwar"
"fokare"
"fortinn"
"fragmantasion"
"frankofoni"
"fridemer"
"gablou"
"gardri"
"gilti"
"glwar"
"grann-rout"
"imigran"
"inspirasion"
"job"
"kalm"
"kalorifer"
"karism"
"karo"
"karya"
"kontradiksion"
"korbiyar"
"kravas"
"kwizinie"
"lagam"
"lakagn"
"lamores"
"lanba"
"lapantkot"
"lapriyer"
"last"
"latrenn"
"lazourne"
"lepeser"
"lespri"
"lespwar"
"linpas"
"lorgann"
"magazin"
"mangwak"
"meaning"
"mika"
"milion"
"omosexialite"
"orbor"
"oter"
"palanngouli"
"pigeonhole"
"pikerpoket"
"plon"
"prostitie"
"proverb"
"ramo"
"reyonnman"
"rimatism"
"rinoseros"
"rozet"
"sagosien"
"santans"
"seraz"
"sez"
"sida"
"sign"
"sindikalis"
"stafroum"
"stres"
"tabla"
"tako"
"tanpon"
"tarbernak"
"telefonis"
"tondez"
"triyang"
"troubl"
"verbiaz"
"vesel"
"vole"
"zaf"
