a capella
a cappella
a contrario
a fortiori
a giorno
a jeun
a posteriori
a priori
ab absurdo
ab initio
ab ovo
abjectement
abominablement
abondamment
abruptement
absolument
abstraitement
absurdement
abusivement
académiquement
accelerando
accessoirement
accidentellement
acrimonieusement
acrobatiquement
activement
actuellement
ad infinitum
ad libitum
ad limina
ad majorem dei gloriam
ad nutum
ad patres
ad vitam aeternam
adagio
administrativement
admirablement
admirativement
adonc
adoncques
adorablement
adroitement
adéquatement
affablement
affectivement
affectueusement
affirmativement
affreusement
afin
agitato
aglagla
agressivement
agréablement
ahi
ahou
aigrement
ailleurs
aimablement
ainsi
aisément
al dente
alea jacta est
alentour
alerte
alertement
algébriquement
alias
all right
allegretto
allegro
allusivement
allègrement
allégoriquement
allégrement
alors
alphabétiquement
alter
alternativement
altièrement
aléatoirement
amicalement
amoroso
amoureusement
amplement
amèrement
anachroniquement
analytiquement
anaphoriquement
anarchiquement
anatomiquement
ancestralement
anch'io son pittore
anciennement
andante
anecdotiquement
angéliquement
animalement
annuellement
anonymement
anormalement
anthropologiquement
anti
anticonstitutionnellement
antérieurement
anxieusement
apparemment
approbativement
approximativement
après
après-demain
arbitrairement
architecturalement
ardemment
ardito
ardûment
aristocratiquement
arithmétiquement
arrière
arrogamment
artificiellement
artisanalement
artistement
artistiquement
assez
assidûment
assurément
assyro
astro
astrologiquement
astronomiquement
astucieusement
asymétriquement
atrocement
attentivement
au-dedans
au-dehors
au-delà
au-dessous
au-dessus
au-devant
aucunement
audacieusement
aujourd'hui
aujourd'hui
auparavant
auprès
aussi
aussitôt
austro
austèrement
autant
authentiquement
automatico
automatiquement
autoritairement
autour
autre
autrefois
autrement
autres
aux aguets
avant
avant-hier
avantageusement
avarement
avaricieusement
aveuglément
avidement
balistiquement
balto
banalement
barbarement
barca
bas
bassement
beau
beaucoup
bellement
belliqueusement
ben
benoîtement
besef
bestialement
beuh
bezef
bibliquement
bien
bienheureusement
bientôt
bienveillamment
bigrement
bilatéralement
biochimiquement
biologiquement
bis
bizarrement
bon
bonassement
bonnement
bons-cadeaux
botaniquement
boudi
bouffonnement
bougrement
bourgeoisement
bravement
bref
bric et de broc
brillamment
brièvement
brusquement
brut
brutalement
bruyamment
budgétairement
bulgaro
bureaucratiquement
béatement
bénignement
bénévolement
bésef
bézef
bêta
bêtement
c'est-à-dire
c'est-à-dire
caf
cahin-caha
califourchon
calligraphiquement
calmement
canado
canaillement
candidement
canoniquement
capitalement
capricieusement
carrément
cash
catastrophiquement
catholiquement
catégoriquement
cauteleusement
cavalièrement
cellulairement
censément
cependant
certainement
certes
chaleureusement
chao
chaotiquement
charitablement
charnellement
chastement
chaud
chaudement
cher
chevaleresquement
chic
chichement
chimiquement
chimériquement
chiquement
chirurgicalement
chouette
chouettement
chouïa
chroniquement
chronologiquement
chrétiennement
chèrement
chétivement
ci
ci-après
ci-contre
ci-dessous
ci-dessus
ci-gît
cinquièmement
cinématographiquement
circulairement
civilement
clairement
clandestinement
classico
classiquement
cliniquement
clopin-clopant
co
cocassement
collectivement
coléreusement
combien
comiquement
comme
comment
commercialement
commodément
communément
comparativement
complaisamment
complètement
complémentairement
compulsivement
conceptuellement
concrètement
concurremment
conditionnellement
confidentiellement
conformément
confortablement
confraternellement
confusément
congrûment
congénitalement
conjointement
conjugalement
connement
consciemment
consciencieusement
considérablement
constamment
constitutionnellement
consécutivement
conséquemment
contemplativement
continuellement
continûment
contractuellement
contradictoirement
contrairement
contrebas
convenablement
conventionnellement
conventuellement
convulsivement
copieusement
coquettement
coquinement
cordialement
correctement
corrélativement
cosmiquement
cosmo
couci-couça
coupablement
courageusement
couramment
court
courtement
courtoisement
coutumièrement
coûteusement
craintivement
crapuleusement
crescendo
criminellement
croa croa
croa-croa
crouille
crucialement
cruellement
crânement
crédié
crûment
culturellement
cupidement
curieusement
cycliquement
cyniquement
câlinement
céans
cérébralement
cérémonieusement
d'abord
d'emblée
d'emblée
d'ores et déjà
dangereusement
dare dare
dare-dare
davantage
de auditu
de facto
de guingois
de plano
de traviole
de visu
debout
decrescendo
dedans
dehors
delà
demain
demi
demi-nu
demi-pas
depuis
derechef
dernièrement
derrière
dessous
dessus
deusio
deuxièmement
deuzio
devant
dextrement
deçà
diablement
diaboliquement
diagonalement
diamétralement
didactiquement
difficilement
différemment
dignement
dignus est intrare
diligemment
diminuendo
diplomatiquement
directement
directo
directos
discrètement
disgracieusement
dispendieusement
distinctement
distraitement
dito
diversement
divinement
dixièmement
docilement
doctement
dolce
domestiquement
donnant-donnant
dorénavant
doublement
doucement
doucereusement
doucettement
douillettement
douloureusement
douteusement
doux
dramatiquement
drastiquement
droit
droitement
dru
drôlement
dubitativement
dur
durablement
durement
débilement
décemment
décidément
dédaigneusement
défavorablement
défectueusement
définitivement
dégueulassement
déjà
délibérément
délicatement
délicieusement
déloyalement
démesurément
démocratiquement
démographiquement
démoniaquement
démonstrativement
déplorablement
déraisonnablement
dérisoirement
désagréablement
désastreusement
désespérément
désordonnément
désormais
déterminément
détestablement
dévotement
dévotieusement
dûment
ecce homo
ecsta
effectivement
efficacement
effrayamment
effrontément
effroyablement
emmi
emphatiquement
empiriquement
en
en catimini
en loucedé
en tapinois
encor
encore
enfantinement
enfin
ensemble
ensuite
entièrement
entre-temps
environ
ergo
espièglement
essentiellement
est-ce
est-ce qu
est-ce que
est-ce-que
esthétiquement
et caetera
et cetera
et seq
etc
etc.
etcetera
ethniquement
euphoniquement
ex abrupto
ex nihilo
ex-petit
exactement
exagérément
excellemment
exceptionnellement
excessivement
exclusivement
exemplairement
exhaustivement
exotiquement
expertement
explicitement
exponentiellement
expressivement
expressément
exprès
expérimentalement
extatiquement
extra-muros
extraordinairement
extrêmement
extérieurement
fabuleusement
facilement
facétieusement
fadement
faiblement
fallacieusement
fameusement
familièrement
fanatiquement
fantasmatiquement
fantasquement
fantastiquement
fantomatiquement
farouchement
fastidieusement
fastueusement
fatalement
faussement
faux
favorablement
ferme
fermement
fichtrement
fictivement
fidèlement
fielleusement
fifty-fifty
figurativement
filialement
fin
finalement
financièrement
finement
fiscalement
fissa
fixement
fièrement
fiévreusement
flegmatiquement
florès
fluidement
follement
foncièrement
fonctionnellement
fondamentalement
forcément
formellement
formidablement
fort
forte
fortement
fortissimo
fortuitement
fougueusement
foutrement
foutument
fragilement
frais
franc
franchement
franco
fraternellement
frauduleusement
fraîchement
frileusement
froidement
frugalement
frénétiquement
fréquemment
fugacement
fugitivement
funestement
furieusement
furtivement
futilement
fâcheusement
fébrilement
féeriquement
félinement
férocement
gaiement
gaillardement
gal
galamment
gauchement
gauloisement
gaîment
gentiment
germano
gi
glacialement
glauquement
globalement
glorieusement
gloutonnement
goulûment
gourmandement
goutte
gracieusement
graduellement
grammaticalement
grand
grand-faim
grand-hâte
grand-peine
grand-peur
grandement
grandiosement
gras
grassement
gratis
gratis pro deo
gratos
gratuitement
gravement
grièvement
gros
grossièrement
grosso modo
grotesquement
gréco
gusto
guère
génialement
généralement
généreusement
génétiquement
géographiquement
géologiquement
géométriquement
habilement
habituellement
haineusement
hardiment
hargneusement
harmonieusement
harmoniquement
hasardeusement
haut
hautainement
hautement
hebdomadairement
hermétiquement
heureusement
hic et nunc
hideusement
hier
hispano
historiquement
hiérarchiquement
hiératiquement
honnêtement
honorablement
honoris causa
honteusement
horizontalement
horriblement
hostilement
humainement
humano
humblement
humidement
hydro
hygiéniquement
hyper
hyperboliquement
hypnotiquement
hypo
hypocritement
hypothétiquement
hystériquement
hâtivement
hébraïquement
hélico
hémi
héroïquement
héréditairement
hérédo
ici
ici-bas
idem
identiquement
idiotement
idéalement
idéologiquement
ignoblement
ignominieusement
il
illicitement
illico
illogiquement
illusoirement
illustrement
illégalement
illégitimement
imaginairement
imbécilement
immanquablement
immensément
immodérément
immoralement
immuablement
immédiatement
impalpablement
imparablement
impardonnablement
imparfaitement
impartialement
impassiblement
impatiemment
impeccablement
imperceptiblement
impertinemment
imperturbablement
impitoyablement
implacablement
implicitement
impoliment
impromptu
improprement
imprudemment
imprévisiblement
impudemment
impudiquement
impulsivement
impunément
impérativement
impérieusement
impétueusement
in absentia
in abstracto
in anima vili
in cauda venenum
in extenso
in extremis
in memoriam
in petto
in utero
in vino veritas
in vitro
in vivo
inadéquatement
inavouablement
incessamment
incidemment
inclusivement
incoerciblement
incognito
incommensurablement
incomparablement
incomplètement
incompréhensiblement
inconcevablement
inconditionnellement
inconfortablement
inconsciemment
inconsidérément
incontestablement
incontinent
incorrectement
incorrigiblement
incroyablement
incurablement
indescriptiblement
indiciblement
indifféremment
indignement
indirectement
indiscrètement
indiscutablement
indissolublement
indistinctement
individuellement
indo
indolemment
indubitablement
industriellement
industrieusement
indécemment
indécrottablement
indéfectiblement
indéfiniment
indéfinissablement
indéniablement
indépendamment
indûment
ineffablement
ineffaçablement
ineptement
inespérément
inexactement
inexorablement
inexplicablement
inexprimablement
inexpugnablement
inextricablement
infailliblement
infantilement
infatigablement
infectement
infernalement
infiniment
infinitésimalement
inflexiblement
informatiquement
infra
inglorieusement
ingratement
ingénieusement
ingénument
inhabituellement
inhumainement
inimaginablement
inimitablement
initialement
injurieusement
injustement
inlassablement
innocemment
innombrablement
inopinément
inopportunément
inoubliablement
insatiablement
insensiblement
insensément
insidieusement
insolemment
insolitement
insondablement
insoucieusement
instamment
instantanément
instinctivement
instinctivo
insuffisamment
insupportablement
inséparablement
intarissablement
intellectuellement
intelligemment
intelligiblement
intempestivement
intensivement
intensément
intentionnellement
interminablement
internationalement
interrogativement
intimement
intolérablement
intra
intra muros
intra-muros
intrinsèquement
intrépidement
intuitivement
intégralement
intérieurement
inutilement
invariablement
inversement
invinciblement
invisiblement
involontairement
invraisemblablement
inébranlablement
inégalement
inéluctablement
inélégamment
inépuisablement
inévitablement
ipso facto
ironiquement
irrationnellement
irrespectueusement
irréductiblement
irréellement
irréfutablement
irrégulièrement
irrémédiablement
irréparablement
irréprochablement
irrésistiblement
irréversiblement
irrévocablement
irrévérencieusement
isolément
item
itou
jacqueline
jadis
jalousement
jamais
jeunement
joliment
journellement
jovialement
joyeusement
judicieusement
judéo
juridiquement
jusque
jusque-là
jusques
juste
justement
jà
km
l'une
laborieusement
laconiquement
laidement
lamentablement
langoureusement
languissamment
lanlaire
largement
largo
lascivement
latéralement
legato
lentement
lento
lerch
lerche
lestement
librement
libéralement
linguistiquement
linéairement
lisiblement
littérairement
littéralement
localement
loco
logiquement
loin
lointainement
long
longitudinalement
longtemps
longuement
lors
lorsque
louablement
louis
lourd
lourdement
loyalement
lucidement
lugubrement
lumineusement
luxueusement
là
là-bas
là-dedans
là-dehors
là-derrière
là-dessous
là-dessus
là-devant
là-haut
lâchement
légalement
légitimement
légèrement
macache
machinalement
made in
magico
magiquement
magistralement
magnifiquement
magnétiquement
maigrement
maintenant
mais
majestueusement
majoritairement
mal
maladivement
maladroitement
malaisément
malencontreusement
malhabilement
malheureusement
malhonnêtement
malicieusement
malignement
malproprement
malsainement
maniaquement
manifestement
manu militari
manuellement
marginalement
maritalement
marre
massivement
maternellement
mathématiquement
matinalement
matériellement
maussadement
mauvais
mauvaisement
meilleur
mensongèrement
mensuellement
mentalement
menu
merveilleusement
mesquinement
mexico
mezza voce
mezza-voce
mezzo
microscopiquement
mieux
mignardement
mignonnement
milieu
militairement
militaro
milli
minablement
minutieusement
miraculeusement
misérablement
miséricordieusement
miteusement
mièvrement
mn
moderato
modestement
modérément
moelleusement
moindrement
moins
moitié
moitié-moitié
mollement
mollo
molto
momentanément
mondainement
mondialement
monotonement
monstrueusement
monumentalement
moqueusement
moralement
morbidement
mordicus
mornement
morosement
morpho
mortellement
motu proprio
moult
moyennement
muettement
multi
musicalement
musico
mutatis mutandis
mutuellement
mystiquement
mystérieusement
mytho
mécaniquement
méchamment
médicalement
médiocrement
méditativement
mélancoliquement
mélodieusement
méprisamment
métaphoriquement
métaphysiquement
méthodiquement
méticuleusement
météoriquement
même
mêmement
mûrement
n
n'
n'est-ce pas
nada
naguère
nano
narcissiquement
narquoisement
nationalement
naturellement
naturlich
naïvement
ne
ne varietur
nenni
nerveusement
net
nettement
neurologiquement
niaisement
nib
nigaudement
nihil obstat
nimbo
nippo
noblement
nominalement
nommément
non
non troppo
nonchalamment
nonobstant
normalement
nostalgiquement
nota bene
notablement
notamment
notoirement
nouvellement
nuitamment
nullement
numériquement
néanmoins
nécessairement
négativement
négligemment
néo
objectivement
obligado
obligatoirement
obligeamment
obliquement
obscurément
obscènement
obsessionnellement
obstinément
obséquieusement
occasionnellement
occultement
octavo
odieusement
officiellement
officieusement
oisivement
ok
ombrageusement
omni
on-line
onc
onctueusement
onto
ontologiquement
opiniâtrement
opportunément
optime
oralement
ordinairement
ore
organiquement
orgueilleusement
originairement
originalement
originellement
ortho
oseraient
ostensiblement
ostentatoirement
ostinato
ouais
oui
ousque
out
outrageusement
outre
outre-atlantique
outre-manche
outre-mer
outre-rhin
ouvertement
pacifiquement
paillardement
paisiblement
pakistano
paléo
par mégarde
par-ci
paraboliquement
paradoxalement
parallèlement
parce
parce que
parcimonieusement
pareil
pareillement
paresseusement
parfaitement
parfois
parodiquement
particulièrement
partiellement
partout
pas
pas-je
pasque
passablement
passagèrement
passim
passionnellement
passionnément
passivement
passé
paternellement
pathologiquement
pathétiquement
patiemment
patri
patriotiquement
pauvrement
peinardement
pensivement
perfidement
perpendiculairement
perpète
perpétuellement
personnellement
persévéramment
pertinemment
perversement
pesamment
petit
petitement
peu
peu ou prou
peureusement
peut-être
philosophiquement
phonétiquement
physio
physiologiquement
physiquement
phénoménalement
pianissimo
piano
pico
picturalement
pieusement
pile
pile-poil
pipo
pis
piteusement
pitoyablement
piu
piètrement
più
placidement
plaintivement
plaisamment
platement
platoniquement
plausiblement
play
please
plein
plein-air
pleinement
plue
plupart
plus
plutôt
point
poliment
politico
politiquement
pompeusement
ponctuellement
populairement
positivement
possiblement
post
post mortem
postérieurement
posément
potentiellement
pourquoi
pourtant
poussivement
poétiquement
pragmatiquement
pratiquement
premièrement
presque
prestement
presto
primitivement
primo
primordialement
principalement
princièrement
privément
probablement
prochainement
prodigieusement
professionnellement
profond
profondément
progressivement
promptement
prompto
prophétiquement
proportionnellement
proprement
prosaïquement
providentiellement
provincialement
provisoirement
prudemment
près
près de
préalablement
précairement
précautionneusement
précieusement
précipitamment
précisément
précocement
précédemment
préférablement
prématurément
présentement
prétendument
préventivement
psychiquement
